City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,ondarroa,43.3167,-2.4167,11.88,81,100,2.84,ES,2022-12-05
79,gander,48.9682,-54.5906,0.07,93,100,2.06,CA,2022-12-05
80,praia da vitoria,38.7333,-27.0667,16.53,88,75,4.26,PT,2022-12-05
81,requena,39.4883,-1.1004,9.33,94,100,1.77,ES,2022-12-05
82,kudahuvadhoo,2.6708,72.8944,26.25,77,100,1.64,MV,2022-12-05
83,svetlogorsk,52.6333,29.7333,-9.74,88,83,4.31,BY,2022-12-05
84,kibala,9.1104,18.3463,26.78,25,69,2.24,TD,2022-12-05
85,fez,34.0372,-4.9998,17.14,59,40,8.23,MA,2022-12-05
86,contamana,-7.3333,-75.0167,31.15,49,82,0.97,PE,2022-12-05
87,thompson,55.7435,-97.8558,-27.91,69,40,4.12,CA,2022-12-05
88,tuktoyaktuk,69.4541,-133.0374,-26.0,64,75,10.29,CA,2022-12-05
89,okhotsk,59.3833,143.3,-30.16,82,65,4.74,RU,2022-12-05
90,sambava,-14.2667,50.1667,24.05,85,29,4.71,MG,2022-12-05
91,kavieng,-2.5744,150.7967,27.66,77,95,2.28,PG,2022-12-05
92,esperance,-33.8667,121.9,16.07,81,100,2.24,AU,2022-12-05
93,vanavara,60.34,102.2797,-12.04,89,100,5.59,RU,2022-12-05
94,hobart,-42.8794,147.3294,14.03,65,75,4.63,AU,2022-12-05
95,natal,-5.795,-35.2094,27.36,78,75,6.17,BR,2022-12-05
96,dikson,73.5069,80.5464,-5.13,96,100,5.83,RU,2022-12-05
97,clyde river,70.4692,-68.5914,-9.87,100,100,1.54,CA,2022-12-05
98,pochutla,15.7432,-96.4661,30.46,48,1,2.91,MX,2022-12-05
99,oistins,13.0667,-59.5333,27.05,69,40,2.06,BB,2022-12-05
100,hithadhoo,-0.6,73.0833,27.26,77,98,3.84,MV,2022-12-05
101,nanortalik,60.1432,-45.2371,0.79,77,96,6.34,GL,2022-12-05
102,olga,43.7444,135.2892,-13.91,83,4,1.74,RU,2022-12-05
103,nikolskoye,59.7035,30.7861,-6.06,93,100,3.38,RU,2022-12-05
104,bredasdorp,-34.5322,20.0403,14.74,68,100,0.91,ZA,2022-12-05
105,qaanaaq,77.484,-69.3632,0.77,87,100,7.52,GL,2022-12-05
106,nemuro,43.3236,145.575,-1.85,53,0,5.47,JP,2022-12-05
107,narasapur,16.45,81.6667,21.92,85,88,2.38,IN,2022-12-05
108,chokurdakh,70.6333,147.9167,-37.81,99,37,3.24,RU,2022-12-05
109,garoua,9.3,13.4,25.58,19,8,1.65,CM,2022-12-05
110,calabozo,8.9242,-67.4293,28.42,53,66,0.82,VE,2022-12-05
111,kijang,35.2442,129.2139,-1.15,42,0,1.6,KR,2022-12-05
112,cidreira,-30.1811,-50.2056,22.21,90,97,4.26,BR,2022-12-05
113,brigantine,39.4101,-74.3646,8.34,69,0,2.06,US,2022-12-05
114,jamestown,42.097,-79.2353,7.8,26,0,4.63,US,2022-12-05
115,krasnokholmskiy,55.9873,55.0466,-21.97,100,62,0.93,RU,2022-12-05
116,aguimes,27.9054,-15.4461,19.35,78,75,1.03,ES,2022-12-05
117,castro,-24.7911,-50.0119,19.43,95,61,1.48,BR,2022-12-05
118,kuching,1.55,110.3333,25.12,93,40,3.58,MY,2022-12-05
119,kieta,-6.2167,155.6333,27.81,75,96,1.14,PG,2022-12-05
120,iskateley,67.6803,53.1512,-15.05,87,96,6.3,RU,2022-12-05
121,saint-leu,-21.15,55.2833,24.46,73,100,0.5,RE,2022-12-05
122,qingdao,36.0986,120.3719,-5.22,80,0,1.0,CN,2022-12-05
123,shillong,25.5689,91.8831,8.17,66,0,0.25,IN,2022-12-05
124,kidal,18.4411,1.4078,26.33,14,100,4.95,ML,2022-12-05
125,sitka,57.0531,-135.33,2.94,75,100,3.6,US,2022-12-05
126,oeiras do para,-2.0031,-49.8544,24.14,88,100,1.53,BR,2022-12-05
127,shihezi,44.3,86.0333,-9.77,89,100,1.08,CN,2022-12-05
128,san ignacio,17.1561,-89.0714,29.08,70,40,2.06,BZ,2022-12-05
129,la ronge,55.1001,-105.2842,-23.86,58,40,3.09,CA,2022-12-05
130,bilibino,68.0546,166.4372,-23.49,70,100,2.77,RU,2022-12-05
131,constitucion,-35.3333,-72.4167,17.5,65,6,7.47,CL,2022-12-05
132,caravelas,-17.7125,-39.2481,22.55,85,100,2.65,BR,2022-12-05
133,arraial do cabo,-22.9661,-42.0278,24.98,73,40,8.23,BR,2022-12-05
